序号,时间毫秒数,股票指数值,浮动幅度,浮动幅度百分比
101,Tue Nov 06 21:41:53 CST 2018,2659.3564,-6.0742,-0.23
102,Tue Nov 06 21:42:03 CST 2018,2659.3564,-6.0742,-0.23
103,Tue Nov 06 21:42:13 CST 2018,2659.3564,-6.0742,-0.23
104,Tue Nov 06 21:42:24 CST 2018,2659.3564,-6.0742,-0.23
105,Tue Nov 06 21:42:34 CST 2018,2659.3564,-6.0742,-0.23
106,Tue Nov 06 21:42:44 CST 2018,2659.3564,-6.0742,-0.23
107,Tue Nov 06 21:42:54 CST 2018,2659.3564,-6.0742,-0.23
108,Tue Nov 06 21:43:04 CST 2018,2659.3564,-6.0742,-0.23
109,Tue Nov 06 21:43:14 CST 2018,2659.3564,-6.0742,-0.23
110,Tue Nov 06 21:43:24 CST 2018,2659.3564,-6.0742,-0.23
111,Tue Nov 06 21:43:34 CST 2018,2659.3564,-6.0742,-0.23
112,Tue Nov 06 21:43:44 CST 2018,2659.3564,-6.0742,-0.23
113,Tue Nov 06 21:43:54 CST 2018,2659.3564,-6.0742,-0.23
114,Tue Nov 06 21:44:04 CST 2018,2659.3564,-6.0742,-0.23
115,Tue Nov 06 21:44:14 CST 2018,2659.3564,-6.0742,-0.23
116,Tue Nov 06 21:44:24 CST 2018,2659.3564,-6.0742,-0.23
117,Tue Nov 06 21:44:34 CST 2018,2659.3564,-6.0742,-0.23
118,Tue Nov 06 21:44:44 CST 2018,2659.3564,-6.0742,-0.23
119,Tue Nov 06 21:44:54 CST 2018,2659.3564,-6.0742,-0.23
120,Tue Nov 06 21:45:04 CST 2018,2659.3564,-6.0742,-0.23
121,Tue Nov 06 21:45:15 CST 2018,2659.3564,-6.0742,-0.23
122,Tue Nov 06 21:45:25 CST 2018,2659.3564,-6.0742,-0.23
123,Tue Nov 06 21:45:35 CST 2018,2659.3564,-6.0742,-0.23
124,Tue Nov 06 21:45:45 CST 2018,2659.3564,-6.0742,-0.23
125,Tue Nov 06 21:45:55 CST 2018,2659.3564,-6.0742,-0.23
126,Tue Nov 06 21:46:05 CST 2018,2659.3564,-6.0742,-0.23
127,Tue Nov 06 21:46:15 CST 2018,2659.3564,-6.0742,-0.23
128,Tue Nov 06 21:46:25 CST 2018,2659.3564,-6.0742,-0.23
129,Tue Nov 06 21:46:35 CST 2018,2659.3564,-6.0742,-0.23
130,Tue Nov 06 21:46:45 CST 2018,2659.3564,-6.0742,-0.23
131,Tue Nov 06 21:46:55 CST 2018,2659.3564,-6.0742,-0.23
132,Tue Nov 06 21:47:05 CST 2018,2659.3564,-6.0742,-0.23
133,Tue Nov 06 21:47:15 CST 2018,2659.3564,-6.0742,-0.23
134,Tue Nov 06 21:47:25 CST 2018,2659.3564,-6.0742,-0.23
135,Tue Nov 06 21:47:35 CST 2018,2659.3564,-6.0742,-0.23
136,Tue Nov 06 21:47:45 CST 2018,2659.3564,-6.0742,-0.23
137,Tue Nov 06 21:47:55 CST 2018,2659.3564,-6.0742,-0.23
138,Tue Nov 06 21:48:05 CST 2018,2659.3564,-6.0742,-0.23
139,Tue Nov 06 21:48:15 CST 2018,2659.3564,-6.0742,-0.23
140,Tue Nov 06 21:48:25 CST 2018,2659.3564,-6.0742,-0.23
141,Tue Nov 06 21:48:35 CST 2018,2659.3564,-6.0742,-0.23
142,Tue Nov 06 21:48:45 CST 2018,2659.3564,-6.0742,-0.23
143,Tue Nov 06 21:48:55 CST 2018,2659.3564,-6.0742,-0.23
144,Tue Nov 06 21:49:06 CST 2018,2659.3564,-6.0742,-0.23
145,Tue Nov 06 21:49:16 CST 2018,2659.3564,-6.0742,-0.23
146,Tue Nov 06 21:49:26 CST 2018,2659.3564,-6.0742,-0.23
147,Tue Nov 06 21:49:36 CST 2018,2659.3564,-6.0742,-0.23
148,Tue Nov 06 21:49:46 CST 2018,2659.3564,-6.0742,-0.23
149,Tue Nov 06 21:49:56 CST 2018,2659.3564,-6.0742,-0.23
150,Tue Nov 06 21:50:06 CST 2018,2659.3564,-6.0742,-0.23
151,Tue Nov 06 21:50:25 CST 2018,2659.3564,-6.0742,-0.23
152,Tue Nov 06 21:50:35 CST 2018,2659.3564,-6.0742,-0.23
153,Tue Nov 06 21:50:45 CST 2018,2659.3564,-6.0742,-0.23
154,Tue Nov 06 21:50:55 CST 2018,2659.3564,-6.0742,-0.23
155,Tue Nov 06 21:51:05 CST 2018,2659.3564,-6.0742,-0.23
156,Tue Nov 06 21:51:15 CST 2018,2659.3564,-6.0742,-0.23
157,Tue Nov 06 21:51:25 CST 2018,2659.3564,-6.0742,-0.23
158,Tue Nov 06 21:51:35 CST 2018,2659.3564,-6.0742,-0.23
159,Tue Nov 06 21:51:45 CST 2018,2659.3564,-6.0742,-0.23
160,Tue Nov 06 21:51:55 CST 2018,2659.3564,-6.0742,-0.23
161,Tue Nov 06 21:52:05 CST 2018,2659.3564,-6.0742,-0.23
162,Tue Nov 06 21:52:15 CST 2018,2659.3564,-6.0742,-0.23
163,Tue Nov 06 21:52:25 CST 2018,2659.3564,-6.0742,-0.23
164,Tue Nov 06 21:52:35 CST 2018,2659.3564,-6.0742,-0.23
165,Tue Nov 06 21:52:45 CST 2018,2659.3564,-6.0742,-0.23
166,Tue Nov 06 21:52:55 CST 2018,2659.3564,-6.0742,-0.23
167,Tue Nov 06 21:53:05 CST 2018,2659.3564,-6.0742,-0.23
168,Tue Nov 06 21:53:15 CST 2018,2659.3564,-6.0742,-0.23
169,Tue Nov 06 21:53:25 CST 2018,2659.3564,-6.0742,-0.23
170,Tue Nov 06 21:53:35 CST 2018,2659.3564,-6.0742,-0.23
171,Tue Nov 06 21:53:46 CST 2018,2659.3564,-6.0742,-0.23
172,Tue Nov 06 21:53:56 CST 2018,2659.3564,-6.0742,-0.23
173,Tue Nov 06 21:54:06 CST 2018,2659.3564,-6.0742,-0.23
174,Tue Nov 06 21:54:16 CST 2018,2659.3564,-6.0742,-0.23
175,Tue Nov 06 21:54:26 CST 2018,2659.3564,-6.0742,-0.23
176,Tue Nov 06 21:54:36 CST 2018,2659.3564,-6.0742,-0.23
177,Tue Nov 06 21:54:46 CST 2018,2659.3564,-6.0742,-0.23
178,Tue Nov 06 21:54:56 CST 2018,2659.3564,-6.0742,-0.23
179,Tue Nov 06 21:55:06 CST 2018,2659.3564,-6.0742,-0.23
180,Tue Nov 06 21:55:16 CST 2018,2659.3564,-6.0742,-0.23
181,Tue Nov 06 21:55:26 CST 2018,2659.3564,-6.0742,-0.23
182,Tue Nov 06 21:55:36 CST 2018,2659.3564,-6.0742,-0.23
183,Tue Nov 06 21:55:46 CST 2018,2659.3564,-6.0742,-0.23
184,Tue Nov 06 21:55:56 CST 2018,2659.3564,-6.0742,-0.23
185,Tue Nov 06 21:56:06 CST 2018,2659.3564,-6.0742,-0.23
186,Tue Nov 06 21:56:16 CST 2018,2659.3564,-6.0742,-0.23
187,Tue Nov 06 21:56:26 CST 2018,2659.3564,-6.0742,-0.23
188,Tue Nov 06 21:56:36 CST 2018,2659.3564,-6.0742,-0.23
189,Tue Nov 06 21:56:46 CST 2018,2659.3564,-6.0742,-0.23
190,Tue Nov 06 21:56:56 CST 2018,2659.3564,-6.0742,-0.23
191,Tue Nov 06 21:57:06 CST 2018,2659.3564,-6.0742,-0.23
192,Tue Nov 06 21:57:16 CST 2018,2659.3564,-6.0742,-0.23
193,Tue Nov 06 21:57:26 CST 2018,2659.3564,-6.0742,-0.23
194,Tue Nov 06 21:57:36 CST 2018,2659.3564,-6.0742,-0.23
195,Tue Nov 06 21:57:46 CST 2018,2659.3564,-6.0742,-0.23
196,Tue Nov 06 21:57:56 CST 2018,2659.3564,-6.0742,-0.23
197,Tue Nov 06 21:58:06 CST 2018,2659.3564,-6.0742,-0.23
198,Tue Nov 06 21:58:17 CST 2018,2659.3564,-6.0742,-0.23
199,Tue Nov 06 21:58:27 CST 2018,2659.3564,-6.0742,-0.23
200,Tue Nov 06 21:58:37 CST 2018,2659.3564,-6.0742,-0.23
序号,时间毫秒数,股票指数值,浮动幅度,浮动幅度百分比
